x,y,z
0.0549064,-0.144302,0.0596927
0.0588969,-0.152908,0.0649657
0.0663882,-0.169501,0.0720939
0.0510026,-0.133482,0.0699905
0.0509304,-0.132744,0.0737183
0.0508168,-0.131917,0.0774261
0.0506615,-0.131002,0.0811113
0.0504645,-0.13,0.0847714
0.054105,-0.137618,0.0914318
0.0576641,-0.144986,0.098559
0.0607492,-0.151236,0.105792
0.0603098,-0.149625,0.110033
0.0598198,-0.147915,0.11423
0.0592791,-0.146107,0.118379
0.0586878,-0.144204,0.122478
0.0617268,-0.15022,0.131237
0.0699753,-0.155659,0.303377
0.0740114,-0.163133,0.332379
0.0761192,-0.166039,0.375505
0.0765982,-0.166335,0.39793
0.0764038,-0.165299,0.419695
0.0776159,-0.167034,0.450745
0.00349685,-0.0206404,0.188133
0.00478872,-0.0229934,0.246245
0.00858858,-0.0300099,0.402201
-0.0146268,-0.0276392,0.225943
-0.0176272,-0.0312942,0.225081
-0.0192056,-0.0332715,0.214334
-0.0219891,-0.0367083,0.213286
-0.0247431,-0.0401318,0.212121
-0.0293364,-0.0458001,0.220401
-0.0342063,-0.0518408,0.228408
-0.0371666,-0.0555982,0.226728
-0.040086,-0.05933,0.224923
-0.0451927,-0.0657641,0.231276
-0.0507805,-0.072831,0.238225
-0.0538392,-0.0768271,0.235841
-0.0597545,-0.0843812,0.242191
-0.0686361,-0.0956645,0.25603
-0.0719246,-0.10006,0.25288
-0.0592195,-0.0845117,0.208909
-0.0582972,-0.0836223,0.197824
-0.0606392,-0.0868298,0.195109
-0.0843916,-0.117062,0.238876
-0.0873269,-0.121151,0.235036
-0.0826982,-0.115663,0.216418
-0.0893166,-0.124465,0.220181
-0.0794132,-0.112208,0.194018
-0.0982888,-0.136773,0.218397
-0.0968827,-0.135406,0.207631
-0.0902778,-0.127317,0.189596
-0.061207,-0.0900759,0.140461
-0.0578949,-0.0860592,0.131163
-0.0591151,-0.0879244,0.128424
-0.0602854,-0.0897362,0.125627
-0.0614052,-0.0914931,0.122775
-0.0624739,-0.0931939,0.119869
-0.063491,-0.0948371,0.116911
-0.0644559,-0.0964215,0.113904
-0.0653682,-0.0979458,0.110849
-0.0614601,-0.0930454,0.103532
-0.0670331,-0.100809,0.104605
-0.0677851,-0.102146,0.10142
-0.0684829,-0.103419,0.0981959
-0.0691264,-0.104625,0.0949352
-0.0697152,-0.105765,0.0916399
-0.0758469,-0.114461,0.0915576
-0.0819956,-0.123239,0.0909479
-0.0824834,-0.124313,0.087061
-0.0829078,-0.125305,0.083145
-0.0832689,-0.126216,0.0792024
-0.0835667,-0.127045,0.0752361
-0.0838012,-0.127791,0.0712487
-0.0839726,-0.128452,0.0672429
-0.084081,-0.129029,0.0632216
-0.0841265,-0.129521,0.0591875
-0.0898832,-0.138062,0.0558299
-0.0840302,-0.130246,0.0510917
-0.083889,-0.130479,0.0470357
-0.00224565,-0.0280803,0.275885
0.000229106,-0.0207222,0.158825
-0.0140831,-0.0697491,0.171012
-0.0256267,-0.110029,0.213288
-0.0235934,-0.103751,0.194762
-0.0228415,-0.101786,0.183918
-0.0221317,-0.0999423,0.174077
-0.0229011,-0.103203,0.171359
-0.0218228,-0.100059,0.161035
-0.0243483,-0.109523,0.165663
-0.0345225,-0.148814,0.178347
-0.0313115,-0.138116,0.162157
-0.0318915,-0.14109,0.158413
-0.030327,-0.13624,0.148608
-0.0308079,-0.138873,0.144923
-0.0312551,-0.141413,0.141169
-0.0297008,-0.136507,0.132546
-0.0300607,-0.138736,0.128863
-0.0281603,-0.132437,0.120236
-0.0284383,-0.134355,0.11667
-0.0286865,-0.136183,0.113055
-0.028905,-0.137921,0.109392
-0.029094,-0.139565,0.105685
-0.0292535,-0.141117,0.101936
-0.0293839,-0.142573,0.098148
-0.0271701,-0.134752,0.0911086
-0.0272378,-0.135933,0.0874984
-0.0249559,-0.127683,0.0811443
-0.0249695,-0.128611,0.0777305
-0.0249587,-0.129452,0.0742939
-0.024924,-0.130206,0.070837
-0.0248655,-0.130872,0.067362
-0.0247837,-0.13145,0.0638713
-0.0246788,-0.131938,0.0603673
-0.0245512,-0.132337,0.0568524
-0.0244014,-0.132647,0.0533291
-0.0242296,-0.132866,0.0497998
-0.0240363,-0.132995,0.0462668
0.070492,2.01751,0.0775343
0.0668913,2.00608,0.129942
0.0638565,2.01323,0.183141
0.0607607,2.01897,0.236768
0.0575855,2.02227,0.290663
0.0543891,2.02511,0.345004
0.0509349,2.01664,0.397931
0.0465219,1.95974,0.441098
